month_year,timestamp_count
2003-01,1
2003-02,0
2003-03,1
2003-04,2
2003-05,0
2003-06,0
2003-07,2
2003-08,0
2003-09,1
2003-10,1
2003-11,0
2003-12,2
2004-01,1
2004-02,0
2004-03,1
2004-04,0
2004-05,0
2004-06,1
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,1
2004-12,2
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,1
2005-06,0
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,2
2005-12,2
2006-01,0
2006-02,1
2006-03,0
2006-04,1
2006-05,2
2006-06,0
2006-07,3
2006-08,1
2006-09,0
2006-10,4
2006-11,0
2006-12,1
2007-01,1
2007-02,0
2007-03,1
2007-04,1
2007-05,1
2007-06,0
2007-07,0
2007-08,1
2007-09,0
2007-10,2
2007-11,0
2007-12,1
2008-01,0
2008-02,0
2008-03,0
2008-04,1
2008-05,2
2008-06,2
2008-07,1
2008-08,1
2008-09,0
2008-10,1
2008-11,1
2008-12,1
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,1
2009-07,2
2009-08,3
2009-09,1
2009-10,0
2009-11,2
2009-12,1
2010-01,1
2010-02,3
2010-03,2
2010-04,0
2010-05,1
2010-06,4
2010-07,0
2010-08,1
2010-09,0
2010-10,0
2010-11,0
2010-12,2
2011-01,5
2011-02,1
2011-03,3
2011-04,1
2011-05,2
2011-06,3
2011-07,1
2011-08,0
2011-09,1
2011-10,1
2011-11,2
2011-12,1
2012-01,1
2012-02,3
2012-03,2
2012-04,4
2012-05,4
2012-06,2
2012-07,1
2012-08,2
2012-09,0
2012-10,2
2012-11,0
2012-12,3
2013-01,4
2013-02,2
2013-03,1
2013-04,1
2013-05,2
2013-06,4
2013-07,4
2013-08,5
2013-09,2
2013-10,2
2013-11,1
2013-12,1
2014-01,7
2014-02,1
2014-03,2
2014-04,4
2014-05,1
2014-06,2
2014-07,2
2014-08,4
2014-09,6
2014-10,2
2014-11,4
2014-12,6
2015-01,1
2015-02,2
2015-03,3
2015-04,3
2015-05,1
2015-06,2
2015-07,3
2015-08,6
2015-09,6
2015-10,5
2015-11,1
2015-12,7
2016-01,4
2016-02,5
2016-03,3
2016-04,4
2016-05,9
2016-06,5
2016-07,6
2016-08,2
2016-09,4
2016-10,3
2016-11,2
2016-12,6
2017-01,5
2017-02,2
2017-03,5
2017-04,3
2017-05,6
2017-06,4
2017-07,1
2017-08,1
2017-09,4
2017-10,7
2017-11,7
2017-12,7
2018-01,10
2018-02,6
2018-03,6
2018-04,3
2018-05,7
2018-06,4
2018-07,4
2018-08,10
2018-09,4
2018-10,5
2018-11,6
2018-12,4
2019-01,6
2019-02,2
2019-03,7
2019-04,8
2019-05,8
2019-06,12
2019-07,3
2019-08,5
2019-09,7
2019-10,7
2019-11,4
2019-12,10
2020-01,9
2020-02,6
2020-03,8
2020-04,6
2020-05,7
2020-06,5
2020-07,11
2020-08,12
2020-09,4
2020-10,12
2020-11,12
2020-12,11
2021-01,7
2021-02,6
2021-03,7
2021-04,5
2021-05,11
2021-06,5
2021-07,11
2021-08,13
2021-09,11
2021-10,16
2021-11,11
2021-12,6
2022-01,8
2022-02,10
2022-03,5
2022-04,9
2022-05,11
2022-06,11
2022-07,10
2022-08,5
2022-09,9
2022-10,10
2022-11,12
2022-12,7
2023-01,7
2023-02,5
2023-03,10
2023-04,7
2023-05,7
2023-06,11
2023-07,13
2023-08,10
2023-09,9
2023-10,13
2023-11,10
2023-12,14
2024-01,10
2024-02,13
2024-03,8
2024-04,12
2024-05,14
2024-06,18
2024-07,17
2024-08,23
2024-09,20
2024-10,27
2024-11,23
2024-12,38
2025-01,37
2025-02,28
2025-03,44
2025-04,10
2025-05,0
2025-06,0
2025-07,0
2025-08,0
2025-09,0
2025-10,0
2025-11,0
2025-12,0
